"tvk","value_code","taxon"
"NBNSYS0000008289","1","Subcoccinella vigintiquattuorpunctata"
"NBNSYS0000008290","2","Coccidula rufa"
"NBNSYS0000008291","2","Coccidula scutellata"
"NBNSYS0000008293","3","Clitostethus arcuatus"
"NBNSYS0000008294","3","Stethorus punctillum"
"NBNSYS0000008304","4","Nephus bisignatus"
"NBNSYS0000008305","3","Nephus quadrimaculatus"
"NBNSYS0000008306","3","Nephus redtenbacheri"
"NBNSYS0000008307","2","Hyperaspis pseudopustulata"
"NBNSYS0000008308","2","Platynaspis luteorubra"
"NBNSYS0000008309","1","Chilocorus bipustulatus"
"NBNSYS0000008310","1","Chilocorus renipustulatus"
"NBNSYS0000008311","3","Exochomus nigromaculatus"
"NBNSYS0000008312","1","Exochomus quadripustulatus"
"NBNSYS0000008316","1","Anisosticta novemdecimpunctata"
"NBNSYS0000008317","1","Aphidecta obliterata"
"NBNSYS0000008318","1","Tytthaspis sedecimpunctata"
"NBNSYS0000008319","1","Adalia bipunctata"
"NBNSYS0000008320","1","Adalia decempunctata"
"NBNSYS0000008321","3","Coccinella magnifica"
"NBNSYS0000008322","1","Coccinella hieroglyphica"
"NBNSYS0000008323","3","Coccinella quinquepunctata"
"NBNSYS0000008324","1","Coccinella septempunctata"
"NBNSYS0000008325","1","Coccinella undecimpunctata"
"NBNSYS0000008326","1","Harmonia quadripunctata"
"NBNSYS0000008327","1","Anatis ocellata"
"NBNSYS0000008328","1","Myrrha octodecimguttata"
"NBNSYS0000008329","1","Calvia quattuordecimguttata"
"NBNSYS0000008330","1","Propylea quattuordecimpunctata"
"NBNSYS0000008331","1","Myzia oblongoguttata"
"NBNSYS0000008332","1","Halyzia sedecimguttata"
"NBNSYS0000008333","3","Vibidia duodecimguttata"
"NBNSYS0000008334","1","Psyllobora vigintiduopunctata"
"NHMSYS0000712592","1","Harmonia axyridis"
"NHMSYS0020151871","3","Cryptolaemus montrouzieri"
"NHMSYS0020152260","1","Henosepilachna argus"
"NHMSYS0020152266","1","Hippodamia (Adonia) variegata"
"NHMSYS0020152268","3","Hippodamia (Hippodamia) tredecimpunctata"
"NHMSYS0020153335","4","Rhyzobius chrysomeloides"
"NHMSYS0020153336","2","Rhyzobius litura"
"NHMSYS0020153337","4","Rhyzobius lophanthae"
"NHMSYS0020153342","3","Rodolia cardinalis"
"NHMSYS0020153392","3","Scymnus (Neopullus) haemorrhoidalis"
"NHMSYS0020153393","3","Scymnus (Neopullus) limbatus"
"NHMSYS0020153395","3","Scymnus (Pullus) auritus"
"NHMSYS0020153396","2","Scymnus (Pullus) suturalis"
"NHMSYS0020153398","3","Scymnus (Scymnus) femoralis"
"NHMSYS0020153399","2","Scymnus (Scymnus) frontalis"
"NHMSYS0020153400","3","Scymnus (Scymnus) interruptus"
"NHMSYS0020153402","3","Scymnus (Scymnus) nigrinus"
"NHMSYS0020153403","3","Scymnus (Scymnus) rubromaculatus"
"NHMSYS0020153404","3","Scymnus (Scymnus) schmidti"
